urine rate,diffusion coefficients,bladder steady state,time to blockage
12.0,1e-06,376815.0,17.791666666666668
13.0,1e-06,324886.0,17.833333333333332
14.0,1e-06,272959.0,17.875
15.0,1e-06,221037.0,17.916666666666668
16.0,1e-06,169124.0,17.958333333333332
17.0,1e-06,117233.0,18.0
18.0,1e-06,65410.7,18.041666666666668
18.5,1e-06,39610.7,18.083333333333332
19.0,1e-06,14388.5,18.125
19.5,1e-06,1206.71,18.208333333333332
20.0,1e-06,430.195,18.208333333333332
21.0,1e-06,185.396,18.25
22.0,1e-06,118.012,18.25
23.0,1e-06,86.5372,18.291666666666668
24.0,1e-06,68.313,18.291666666666668
25.0,1e-06,56.4281,18.333333333333332
27.5,1e-06,39.3231,18.333333333333332
30.0,1e-06,30.1755,18.375
32.5,1e-06,24.4805,18.375
35.0,1e-06,20.5938,18.375
37.5,1e-06,17.7722,18.416666666666668
40.0,1e-06,15.6306,18.416666666666668
5.0,3e-07,740335.0,31.708333333333332
6.0,3e-07,688399.0,31.708333333333332
7.0,3e-07,636464.0,31.75
8.0,3e-07,584528.0,31.791666666666668
9.0,3e-07,532593.0,31.833333333333332
10.0,3e-07,480658.0,31.875
11.0,3e-07,428724.0,31.916666666666668
12.0,3e-07,376790.0,31.916666666666668
13.0,3e-07,324858.0,31.958333333333332
14.0,3e-07,272927.0,32.0
15.0,3e-07,220999.0,32.041666666666664
16.0,3e-07,169076.0,32.083333333333336
17.0,3e-07,117166.0,32.125
18.0,3e-07,65296.9,32.166666666666664
18.5,3e-07,39428.4,32.208333333333336
19.0,3e-07,13921.0,32.208333333333336
19.5,3e-07,734.4110000000001,32.25
20.0,3e-07,254.21400000000003,32.25
21.0,3e-07,109.169,32.291666666666664
22.0,3e-07,69.4584,32.333333333333336
23.0,3e-07,50.9262,32.333333333333336
24.0,3e-07,40.1991,32.375
25.0,3e-07,33.2044,32.375
27.5,3e-07,23.1385,32.416666666666664
30.0,3e-07,17.7556,32.416666666666664
32.5,3e-07,14.4046,32.458333333333336
35.0,3e-07,12.1176,32.5
37.5,3e-07,10.4573,32.5
40.0,3e-07,9.19713,32.541666666666664
5.0,1e-07,740322.0,54.208333333333336
6.0,1e-07,688390.0,53.875
7.0,1e-07,636454.0,53.916666666666664
8.0,1e-07,584518.0,53.958333333333336
9.0,1e-07,532582.0,54.0
10.0,1e-07,480646.0,54.083333333333336
11.0,1e-07,428710.0,54.125
12.0,1e-07,376775.0,54.166666666666664
13.0,1e-07,324841.0,54.208333333333336
14.0,1e-07,272907.0,54.25
15.0,1e-07,220975.0,54.291666666666664
16.0,1e-07,169046.0,54.333333333333336
17.0,1e-07,117124.0,54.416666666666664
18.0,1e-07,65225.2,54.458333333333336
18.5,1e-07,39313.0,54.5
19.0,1e-07,13611.4,54.5
19.5,1e-07,420.93800000000005,54.541666666666664
20.0,1e-07,142.77,54.541666666666664
21.0,1e-07,61.173,54.583333333333336
22.0,1e-07,38.9097,54.625
