urine rate,catheter length,bladder steady state,time to blockage
9.0,85.0,533641.0,52.666666666666664
9.0,90.0,533644.0,53.916666666666664
9.0,95.0,533648.0,55.08333333333333
9.0,100.0,533651.0,56.166666666666664
9.0,105.0,533654.0,57.25
9.0,110.0,533657.0,58.33333333333333
9.0,115.0,533660.0,59.33333333333333
9.0,120.0,533662.0,60.33333333333333
9.0,125.0,533665.0,61.25
9.0,130.0,533667.0,62.166666666666664
9.0,135.0,533670.0,63.0
9.0,140.0,533672.0,63.916666666666664
9.0,145.0,533674.0,64.66666666666666
9.0,150.0,533676.0,65.5
9.0,155.0,533677.0,66.33333333333333
9.0,160.0,533679.0,67.08333333333333
9.0,165.0,533681.0,67.75
9.0,170.0,533682.0,68.5
9.0,175.0,533684.0,69.25
9.0,180.0,533685.0,69.91666666666666
9.0,185.0,533687.0,70.58333333333333
9.0,190.0,533688.0,71.25
9.0,195.0,533689.0,71.83333333333333
9.0,200.0,533690.0,72.5
10.0,40.0,481781.0,39.25
10.0,45.0,481782.0,41.08333333333333
10.0,50.0,481785.0,42.916666666666664
10.0,55.0,481789.0,44.58333333333333
10.0,60.0,481794.0,46.25
10.0,65.0,481799.0,47.83333333333333
10.0,70.0,481803.0,49.25
10.0,75.0,481808.0,50.666666666666664
10.0,80.0,481813.0,52.0
10.0,85.0,481817.0,53.33333333333333
10.0,90.0,481821.0,54.58333333333333
10.0,95.0,481825.0,55.75
10.0,100.0,481829.0,56.916666666666664
10.0,105.0,481833.0,58.0
10.0,110.0,481836.0,59.0
10.0,115.0,481839.0,60.08333333333333
10.0,120.0,481842.0,61.0
10.0,125.0,481845.0,62.0
10.0,130.0,481848.0,62.916666666666664
10.0,135.0,481850.0,63.83333333333333
10.0,140.0,481853.0,64.66666666666666
10.0,145.0,481855.0,65.5
10.0,150.0,481857.0,66.33333333333333
10.0,155.0,481859.0,67.08333333333333
10.0,160.0,481861.0,67.83333333333333
10.0,165.0,481863.0,68.58333333333333
10.0,170.0,481865.0,69.33333333333333
10.0,175.0,481866.0,70.08333333333333
10.0,180.0,481868.0,70.75
10.0,185.0,481870.0,71.41666666666666
10.0,190.0,481871.0,72.08333333333333
10.0,195.0,481872.0,72.75
10.0,200.0,481874.0,73.33333333333333
11.0,40.0,429974.0,39.83333333333333
11.0,45.0,429977.0,41.666666666666664
11.0,50.0,429981.0,43.416666666666664
11.0,55.0,429987.0,45.166666666666664
11.0,60.0,429993.0,46.83333333333333
11.0,65.0,429998.0,48.33333333333333
11.0,70.0,430004.0,49.83333333333333
11.0,75.0,430010.0,51.25
11.0,80.0,430015.0,52.58333333333333
11.0,85.0,430021.0,53.916666666666664
11.0,90.0,430026.0,55.166666666666664
11.0,95.0,430030.0,56.33333333333333
11.0,100.0,430035.0,57.5
11.0,105.0,430039.0,58.58333333333333
11.0,110.0,430043.0,59.666666666666664
11.0,115.0,430046.0,60.666666666666664
11.0,120.0,430050.0,61.666666666666664
11.0,125.0,430053.0,62.666666666666664
11.0,130.0,430056.0,63.58333333333333
11.0,135.0,430059.0,64.5
11.0,140.0,430062.0,65.33333333333333
11.0,145.0,430065.0,66.16666666666666
11.0,150.0,430067.0,67.0
11.0,155.0,430069.0,67.83333333333333
11.0,160.0,430072.0,68.58333333333333
11.0,165.0,430074.0,69.33333333333333
11.0,170.0,430076.0,70.08333333333333
11.0,175.0,430078.0,70.75
11.0,180.0,430080.0,71.5
11.0,185.0,430081.0,72.16666666666666
11.0,190.0,430083.0,72.83333333333333
11.0,195.0,430085.0,73.5
11.0,200.0,430086.0,74.08333333333333
12.0,40.0,378202.0,40.33333333333333
12.0,45.0,378207.0,42.166666666666664
12.0,50.0,378214.0,44.0
12.0,55.0,378221.0,45.666666666666664
12.0,60.0,378228.0,47.33333333333333
12.0,65.0,378235.0,48.916666666666664
12.0,70.0,378243.0,50.33333333333333
12.0,75.0,378250.0,51.83333333333333
12.0,80.0,378256.0,53.166666666666664
12.0,85.0,378262.0,54.5
12.0,90.0,378268.0,55.75
12.0,95.0,378274.0,56.916666666666664
12.0,100.0,378279.0,58.08333333333333
12.0,105.0,378284.0,59.166666666666664
12.0,110.0,378289.0,60.25
12.0,115.0,378293.0,61.25
12.0,120.0,378297.0,62.25
12.0,125.0,378301.0,63.25
12.0,130.0,378305.0,64.16666666666666
12.0,135.0,378308.0,65.08333333333333
12.0,140.0,378311.0,66.0
12.0,145.0,378314.0,66.83333333333333
12.0,150.0,378317.0,67.66666666666666
12.0,155.0,378320.0,68.41666666666666
12.0,160.0,378322.0,69.25
12.0,165.0,378325.0,70.0
12.0,170.0,378327.0,70.75
12.0,175.0,378329.0,71.41666666666666
12.0,180.0,378332.0,72.16666666666666
12.0,185.0,378334.0,72.83333333333333
12.0,190.0,378336.0,73.5
12.0,195.0,378337.0,74.16666666666666
12.0,200.0,378339.0,74.83333333333333
13.0,40.0,326482.0,40.916666666666664
13.0,45.0,326490.0,42.75
13.0,50.0,326498.0,44.5
13.0,55.0,326508.0,46.25
13.0,60.0,326518.0,47.83333333333333
13.0,65.0,326527.0,49.416666666666664
13.0,70.0,326536.0,50.916666666666664
13.0,75.0,326545.0,52.33333333333333
13.0,80.0,326553.0,53.666666666666664
13.0,85.0,326560.0,55.0
13.0,90.0,326568.0,56.25
13.0,95.0,326574.0,57.416666666666664
13.0,100.0,326581.0,58.58333333333333
13.0,105.0,326587.0,59.75
13.0,110.0,326592.0,60.83333333333333
13.0,115.0,326597.0,61.83333333333333
13.0,120.0,326602.0,62.83333333333333
13.0,125.0,326607.0,63.83333333333333
13.0,130.0,326611.0,64.75
13.0,135.0,326615.0,65.66666666666666
13.0,140.0,326619.0,66.58333333333333
13.0,145.0,326623.0,67.41666666666666
13.0,150.0,326626.0,68.25
13.0,155.0,326629.0,69.0
13.0,160.0,326632.0,69.83333333333333
13.0,165.0,326635.0,70.58333333333333
13.0,170.0,326638.0,71.33333333333333
13.0,175.0,326641.0,72.08333333333333
13.0,180.0,326643.0,72.75
13.0,185.0,326645.0,73.41666666666666
13.0,190.0,326648.0,74.08333333333333
13.0,195.0,326650.0,74.75
13.0,200.0,326652.0,75.41666666666666
14.0,40.0,274842.0,41.5
14.0,45.0,274853.0,43.33333333333333
14.0,50.0,274866.0,45.08333333333333
14.0,55.0,274878.0,46.75
14.0,60.0,274891.0,48.416666666666664
14.0,65.0,274903.0,49.916666666666664
14.0,70.0,274915.0,51.416666666666664
14.0,75.0,274926.0,52.83333333333333
14.0,80.0,274936.0,54.25
14.0,85.0,274946.0,55.5
14.0,90.0,274955.0,56.75
14.0,95.0,274963.0,58.0
14.0,100.0,274971.0,59.166666666666664
14.0,105.0,274978.0,60.25
14.0,110.0,274985.0,61.33333333333333
14.0,115.0,274992.0,62.416666666666664
14.0,120.0,274998.0,63.416666666666664
14.0,125.0,275003.0,64.33333333333333
14.0,130.0,275008.0,65.33333333333333
14.0,135.0,275013.0,66.25
14.0,140.0,275018.0,67.08333333333333
14.0,145.0,275022.0,68.0
14.0,150.0,275027.0,68.83333333333333
14.0,155.0,275031.0,69.58333333333333
14.0,160.0,275034.0,70.41666666666666
14.0,165.0,275038.0,71.16666666666666
14.0,170.0,275041.0,71.91666666666666
14.0,175.0,275044.0,72.66666666666666
14.0,180.0,275047.0,73.33333333333333
14.0,185.0,275050.0,74.0
14.0,190.0,275053.0,74.75
14.0,195.0,275055.0,75.33333333333333
14.0,200.0,275058.0,76.0
15.0,40.0,223336.0,42.25
15.0,45.0,223353.0,43.916666666666664
15.0,50.0,223371.0,45.666666666666664
15.0,55.0,223389.0,47.33333333333333
15.0,60.0,223406.0,48.916666666666664
15.0,65.0,223423.0,50.5
15.0,70.0,223438.0,51.916666666666664
15.0,75.0,223452.0,53.33333333333333
15.0,80.0,223466.0,54.75
15.0,85.0,223478.0,56.0
15.0,90.0,223490.0,57.33333333333333
15.0,95.0,223501.0,58.5
15.0,100.0,223511.0,59.666666666666664
15.0,105.0,223520.0,60.75
15.0,110.0,223529.0,61.83333333333333
15.0,115.0,223537.0,62.916666666666664
15.0,120.0,223545.0,63.916666666666664
15.0,125.0,223552.0,64.91666666666666
15.0,130.0,223558.0,65.83333333333333
15.0,135.0,223565.0,66.75
15.0,140.0,223570.0,67.66666666666666
15.0,145.0,223576.0,68.5
15.0,150.0,223581.0,69.33333333333333
15.0,155.0,223586.0,70.16666666666666
15.0,160.0,223590.0,70.91666666666666
15.0,165.0,223595.0,71.75
15.0,170.0,223599.0,72.5
15.0,175.0,223603.0,73.16666666666666
15.0,180.0,223606.0,73.91666666666666
15.0,185.0,223610.0,74.58333333333333
15.0,190.0,223613.0,75.25
15.0,195.0,223616.0,75.91666666666666
15.0,200.0,223619.0,76.58333333333333
16.0,40.0,172081.0,43.0
16.0,45.0,172108.0,44.666666666666664
16.0,50.0,172135.0,46.25
16.0,55.0,172161.0,47.916666666666664
16.0,60.0,172186.0,49.5
16.0,65.0,172209.0,51.0
16.0,70.0,172230.0,52.5
16.0,75.0,172250.0,53.916666666666664
16.0,80.0,172269.0,55.25
16.0,85.0,172286.0,56.58333333333333
16.0,90.0,172301.0,57.83333333333333
16.0,95.0,172316.0,59.0
16.0,100.0,172329.0,60.166666666666664
16.0,105.0,172342.0,61.33333333333333
16.0,110.0,172353.0,62.416666666666664
16.0,115.0,172364.0,63.416666666666664
16.0,120.0,172374.0,64.41666666666666
16.0,125.0,172383.0,65.41666666666666
16.0,130.0,172391.0,66.33333333333333
16.0,135.0,172399.0,67.25
16.0,140.0,172406.0,68.16666666666666
16.0,145.0,172412.0,69.0
16.0,150.0,172418.0,69.83333333333333
16.0,155.0,172423.0,70.66666666666666
16.0,160.0,172428.0,71.5
16.0,165.0,172432.0,72.25
16.0,170.0,172436.0,73.0
16.0,175.0,172439.0,73.75
16.0,180.0,172441.0,74.41666666666666
16.0,185.0,172443.0,75.16666666666666
16.0,190.0,172444.0,75.83333333333333
16.0,195.0,172445.0,76.5
16.0,200.0,172444.0,77.16666666666666
17.0,40.0,121380.0,44.0
17.0,45.0,121424.0,45.416666666666664
17.0,50.0,121467.0,47.0
17.0,55.0,121507.0,48.5
17.0,60.0,121544.0,50.08333333333333
17.0,65.0,121579.0,51.58333333333333
17.0,70.0,121610.0,53.0
17.0,75.0,121638.0,54.416666666666664
17.0,80.0,121664.0,55.75
17.0,85.0,121686.0,57.08333333333333
17.0,90.0,121707.0,58.33333333333333
17.0,95.0,121725.0,59.5
17.0,100.0,121741.0,60.666666666666664
17.0,105.0,121754.0,61.83333333333333
17.0,110.0,121766.0,62.916666666666664
17.0,115.0,121775.0,63.916666666666664
17.0,120.0,121783.0,64.91666666666666
17.0,125.0,121788.0,65.91666666666666
17.0,130.0,121792.0,66.83333333333333
17.0,135.0,121793.0,67.75
17.0,140.0,121792.0,68.66666666666666
17.0,145.0,121789.0,69.58333333333333
17.0,150.0,121784.0,70.41666666666666
17.0,155.0,121777.0,71.16666666666666
17.0,160.0,121767.0,72.0
